aba	ABA132
abs	ABS123
ace	ACE123
act	ACT123
add	ADD123
ado	ADO123
aft	AFT123
age	AGE132
ago	AGO123
aha	AHA132
aid	AID132
aim	AIM123
air	AIR123
ala	ALA132
ale	ALE132
all	ALL123
alt	ALT123
amp	AMP123
ana	ANA132
and	AND132
ant	ANT123
any	ANY123
ape	APE132
app	APP123
apt	APT123
arc	ARC132
are	ARE132
ark	ARK132
arm	ARM132
art	ART123
ash	ASH132
ask	ASK132
asp	ASP132
ass	ASS123
ate	ATE132
ave	AVE132
awe	AWE132
axe	AXE132
aye	AYE132
BAA	BAA312
bad	BAD213
bag	BAG213
ban	BAN213
bar	BAR213
bat	BAT213
bay	BAY213
bed	BED132
bee	BEE123
beg	BEG123
bel	BEL123
ben	BEN123
bet	BET123
bid	BID132
big	BIG132
bin	BIN123
bio	BIO123
bis	BIS123
bit	BIT123
biz	BIZ123
bob	BOB132
bog	BOG132
boo	BOO123
bow	BOW123
box	BOX123
boy	BOY123
bra	BRA231
bud	BUD132
Bug	BUG132
bum	BUM132
bun	BUN132
bus	BUS132
but	BUT132
buy	BUY123
bye	BYE132
cab	CAB312
cad	CAD213
cam	CAM213
can	CAN213
cap	CAP213
car	CAR213
cat	CAT213
chi	CHI123
cob	COB231
cod	COD132
col	COL132
con	CON132
coo	COO123
cop	COP123
cor	COR123
cos	COS123
cot	COT123
cow	COW123
cox	COX123
coy	COY123
cry	CRY123
cub	CUB231
cue	CUE132
cum	CUM132
cup	CUP132
cut	CUT132
dab	DAB312
dad	DAD213
dal	DAL213
dam	DAM213
dan	DAN213
day	DAY213
Dee	DEE123
def	DEF123
del	DEL123
den	DEN123
dew	DEW123
did	DID132
die	DIE132
dig	DIG132
dim	DIM123
din	DIN123
dip	DIP123
dis	DIS123
doc	DOC231
doe	DOE132
dog	DOG132
don	DON132
dot	DOT123
dry	DRY123
dub	DUB231
due	DUE132
dug	DUG132
dun	DUN132
duo	DUO132
dye	DYE132
ear	EAR213
eat	EAT213
ebb	EBB312
ecu	ECU213
eft	EFT123
egg	EGG123
ego	EGO123
elf	ELF132
elm	ELM123
emu	EMU123
end	END231
era	ERA231
eta	ETA231
eve	EVE132
eye	EYE132
fab	FAB312
fad	FAD312
fan	FAN213
far	FAR213
fat	FAT213
fax	FAX213
fay	FAY213
fed	FED321
fee	FEE312
fen	FEN213
few	FEW213
fig	FIG132
fin	FIN123
fir	FIR123
fit	FIT123
fix	FIX123
flu	FLU123
fly	FLY123
foe	FOE231
fog	FOG132
for	FOR123
fox	FOX123
fry	FRY123
fun	FUN132
fur	FUR132
gag	GAG213
gal	GAL213
gap	GAP213
gas	GAS213
